date,min_temp (C),max_temp (C),humudity (%),rainfall (mm),conditions,season
1/1/2025,15,38,90,0,cloudy,summer
2/1/2025,11,43,65,0,sunny,summer
3/1/2025,16,28,82,0,sunny,summer
4/1/2025,10,35,89,0,cloudy,summer
5/1/2025,14,42,85,0,sunny,summer
6/1/2025,14,,62,0,cloudy,summer
7/1/2025,12,36,77,0,cloudy,summer
8/1/2025,,30,64,0,cloudy,summer
9/1/2025,13,43,56,0,cloudy,summer
10/1/2025,16,41,50,0,cloudy,summer
11/1/2025,13,,50,0,cloudy,summer
12/1/2025,12,27,63,0,sunny,summer
13/1/2025,,34,67,0,cloudy,summer
14/1/2025,16,40,88,9,rainy,summer
15/1/2025,15,40,74,0,cloudy,summer
16/1/2025,12,26,51,0,sunny,summer
17/1/2025,13,,50,0,cloudy,summer
18/1/2025,15,43,59,0,sunny,summer
19/1/2025,12,31,77,0,cloudy,summer
20/1/2025,,,58,0,cloudy,summer
21/1/2025,,,84,0,cloudy,summer
22/1/2025,11,35,51,0,sunny,summer
23/1/2025,13,38,61,0,sunny,summer
24/1/2025,15,32,53,0,sunny,summer
25/1/2025,,36,68,0,sunny,summer
26/1/2025,16,30,79,8,rainy,summer
27/1/2025,13,29,89,0,sunny,summer
28/1/2025,14,33,63,0,sunny,summer
29/1/2025,14,32,71,0,sunny,summer
30/1/2025,11,,82,6,rainy,summer
31/1/2025,16,,79,0,sunny,summer
1/2/2025,13,,56,12,rainy,summer
2/2/2025,16,44,55,0,cloudy,summer
3/2/2025,10,44,88,0,cloudy,summer
4/2/2025,12,31,79,0,cloudy,summer
5/2/2025,14,29,75,5,rainy,summer
6/2/2025,13,25,74,8,rainy,summer
7/2/2025,11,30,64,0,sunny,summer
8/2/2025,11,37,54,0,cloudy,summer
9/2/2025,12,35,54,11,rainy,summer
10/2/2025,14,26,84,12,rainy,summer
11/2/2025,10,,69,0,sunny,summer
12/2/2025,11,30,78,14,rainy,summer
13/2/2025,16,25,75,0,cloudy,summer
14/2/2025,13,29,52,0,sunny,summer
15/2/2025,11,38,66,0,cloudy,summer
16/2/2025,10,40,90,0,sunny,summer
17/2/2025,,41,72,0,sunny,summer
18/2/2025,,26,64,0,sunny,summer
19/2/2025,,27,73,0,cloudy,summer
20/2/2025,14,39,89,0,sunny,summer
21/2/2025,11,34,54,0,cloudy,summer
22/2/2025,14,29,55,14,rainy,summer
23/2/2025,16,30,57,0,cloudy,summer
24/2/2025,14,43,67,0,cloudy,summer
25/2/2025,11,40,65,0,sunny,summer
26/2/2025,15,28,54,9,rainy,summer
27/2/2025,16,38,68,0,sunny,summer
28/2/2025,13,44,54,15,rainy,summer
1/3/2025,10,28,84,0,sunny,autumn
2/3/2025,11,25,64,0,cloudy,autumn
3/3/2025,11,28,83,0,sunny,autumn
4/3/2025,10,19,67,0,sunny,autumn
5/3/2025,7,28,53,0,cloudy,autumn
6/3/2025,12,18,81,0,sunny,autumn
7/3/2025,11,16,71,4,rainy,autumn
8/3/2025,12,21,61,0,sunny,autumn
9/3/2025,10,17,53,13,rainy,autumn
10/3/2025,8,22,64,0,cloudy,autumn
11/3/2025,6,28,82,0,sunny,autumn
12/3/2025,9,20,55,9,rainy,autumn
13/3/2025,12,21,61,4,rainy,autumn
14/3/2025,10,28,60,4,rainy,autumn
15/3/2025,9,28,55,0,sunny,autumn
16/3/2025,8,27,85,0,sunny,autumn
17/3/2025,11,28,67,0,cloudy,autumn
18/3/2025,8,19,71,9,rainy,autumn
19/3/2025,10,17,55,0,sunny,autumn
20/3/2025,8,27,58,0,cloudy,autumn
21/3/2025,8,24,72,0,cloudy,autumn
22/3/2025,6,27,51,0,sunny,autumn
23/3/2025,9,22,56,0,cloudy,autumn
24/3/2025,11,27,62,0,cloudy,autumn
25/3/2025,11,28,56,3,rainy,autumn
26/3/2025,9,24,85,5,rainy,autumn
27/3/2025,12,21,85,0,sunny,autumn
28/3/2025,7,19,50,0,cloudy,autumn
