student_id,study_hours_week,attendance_pct,assignment_avg,previous_exam_score,sleep_hours,school_type,study_group,internet_access,passed
1001,17.5,85.9,50.7,86.8,8.5,0,0,0,1
1002,10.8,75.1,93.5,85.0,6.8,1,1,1,1
1003,19.2,92.2,57.2,54.6,6.2,0,2,1,1
1004,nan,65.0,47.0,70.7,7.0,1,0,0,0
1005,3.9,59.0,74.4,74.7,8.2,0,1,1,0
1006,21.5,61.8,64.7,88.9,7.5,1,2,0,0
1007,17.2,88.3,89.0,74.6,8.1,0,0,1,1
1008,17.7,77.4,87.8,64.3,7.0,1,1,0,1
1009,4.6,64.8,61.8,62.2,7.4,0,2,1,0
1010,11.0,79.0,95.5,65.0,6.1,1,0,0,1
1011,9.4,64.4,60.4,77.2,7.8,0,0,0,0
1012,20.5,nan,72.3,88.8,5.8,1,2,0,1
1013,14.9,76.7,58.6,66.5,7.6,1,1,0,0
1014,18.5,74.0,94.6,55.4,8.3,0,2,0,1
1015,10.9,70.7,53.7,54.8,5.5,1,2,0,0
1016,6.5,84.5,47.4,82.3,7.3,1,1,0,0
1017,13.1,73.2,68.1,86.1,5.4,0,1,0,1
1018,3.3,61.7,97.6,47.7,7.8,0,0,1,0
1019,18.6,63.0,nan,45.6,5.3,1,0,0,0
1020,14.6,98.4,84.7,74.1,8.6,1,1,1,1
1021,17.2,96.2,92.2,49.9,5.5,0,0,1,1
1022,9.1,87.4,92.4,86.5,8.6,1,0,1,1
1023,21.4,69.2,72.5,58.8,8.0,0,0,1,1
1024,19.9,98.7,61.7,49.8,7.3,1,2,1,1
1025,17.6,90.7,85.9,nan,8.0,1,1,1,1
1026,5.9,88.1,80.1,50.9,8.0,0,2,1,1
1027,11.3,76.9,64.8,57.4,8.6,1,1,1,0
1028,2.9,69.4,50.0,50.3,6.0,1,0,0,0
1029,5.1,62.0,84.6,48.2,7.2,1,1,0,0
1030,15.7,95.9,58.9,43.1,5.4,0,0,1,1
1031,16.9,77.1,94.7,45.0,7.3,0,2,0,1
1032,21.4,66.5,57.8,51.4,nan,0,0,1,0
1033,8.5,70.9,51.5,44.9,7.1,0,1,0,0
1034,9.4,82.3,89.0,73.9,7.2,0,2,0,1
1035,11.4,65.4,53.1,78.8,6.8,1,1,1,0
1036,5.8,94.0,54.5,63.3,7.0,1,1,1,0
1037,4.6,89.9,76.8,59.2,7.9,1,1,1,1
1038,11.5,88.2,91.4,69.2,8.0,0,2,0,1
1039,6.5,76.1,55.4,89.3,6.9,0,0,1,0
1040,nan,84.3,61.4,88.0,7.3,1,1,1,0
1041,10.7,82.5,86.2,44.3,8.5,0,2,1,1
1042,18.7,85.3,96.5,51.8,5.5,1,1,1,1
1043,16.0,61.5,71.5,54.8,5.4,1,1,1,0
1044,8.2,75.5,52.6,55.5,5.3,0,0,1,0
1045,18.6,59.7,45.7,72.8,7.5,0,0,0,0
1046,18.1,78.7,57.2,64.5,6.6,0,2,1,1
1047,9.7,nan,52.0,44.7,7.9,0,1,1,0
1048,7.8,64.1,80.9,62.2,7.6,0,0,1,0
1049,15.6,62.3,51.5,70.3,6.3,1,1,1,0
1050,4.8,82.7,71.8,47.5,8.4,1,1,1,0
1051,6.0,65.2,81.8,87.0,7.9,1,1,0,0
1052,2.1,96.9,75.8,44.8,6.0,1,2,1,0
1053,17.7,82.4,nan,91.9,6.4,1,0,0,1
1054,15.3,72.6,87.6,47.4,6.2,0,1,0,1
1055,16.1,82.8,82.9,87.6,5.6,0,1,1,1
1056,17.6,59.0,84.2,90.7,5.6,1,2,1,1
1057,11.2,98.3,51.9,94.9,8.6,0,0,0,1
1058,13.4,78.3,51.6,85.3,6.7,0,0,0,0
1059,4.8,90.9,94.2,84.1,6.5,1,1,0,1
1060,4.3,61.5,66.1,76.7,7.8,1,1,0,0
1061,15.4,78.4,61.0,84.1,7.1,1,2,0,1
1062,11.4,78.6,70.9,nan,8.6,1,1,0,0
1063,13.3,97.4,80.1,70.9,8.0,0,2,1,1
1064,17.3,82.0,95.6,69.8,6.8,1,1,1,1
1065,14.7,77.9,60.2,88.3,6.4,1,0,1,1
1066,13.1,69.2,94.0,67.0,8.7,1,0,0,1
1067,13.2,71.9,46.3,62.8,7.7,1,2,0,0
1068,8.1,79.9,74.4,76.5,8.6,1,0,0,0
1069,2.6,76.4,78.6,56.4,5.5,0,2,1,0
1070,10.7,58.9,50.6,49.5,8.2,0,0,0,0
1071,6.3,92.7,52.4,67.8,7.4,0,0,0,0
1072,10.2,95.6,67.2,64.5,5.5,0,0,0,0
1073,19.1,63.9,96.2,54.6,7.2,0,1,1,1
1074,6.7,81.3,76.6,61.8,nan,0,1,0,0
1075,3.2,62.6,94.5,61.8,5.0,1,2,0,0
1076,7.6,86.2,87.6,59.7,6.7,1,1,1,1
1077,7.9,69.8,69.8,62.5,8.1,1,1,1,0
1078,15.2,85.7,86.6,79.0,6.1,1,1,0,1
1079,13.1,88.5,45.9,58.0,6.7,1,2,0,1
1080,17.7,90.3,50.8,93.2,6.7,1,1,1,1
